ID_Quelle,Flurname,QuellenName,X_Koordinate_LV03,Y_Koordinate_LV03,Hoehe,Datum_CSV,Austrittsform,Quellgroesse,Schuettungsverhalten,Quellschuettung,Vernetzung,Austrittsanzahl,Bemerkungen,Fassung,Wasserentnahme,Trittschaeden,Sommerbeschattung,Substrate,RevitObjekt,Gesamtbewertung_CSV,BioErhebung_CSV
SO_TH_0110,Unter Passwang,Unter Passwang,615926,245541,860,14/07/2022,Fliessquelle,klein,ganzjährig,<1,Q-system,4,[SO_Thal_030] Bachflohkrebse. Amphibien,keine,30 - 59%,gering,mittel,"Steine,Kies,Sand,Feinmaterial,Moospolster,Totholz,Pflanzen,Falllaub,Org. Schlamm",unklar,bedingt_naturnah,
SO_TH_0072,Untere Wechten ,Untere Wechten 1,619093,246086,910,14/07/2022,Fliessquelle,klein,periodisch,>10,Q-system,4,[SO_Thal_083] zerstört. ausgetrocknet,Nur Rohr/Rinne,keine,stark,gering,,unklar,stark_geschaedigt,
SO_TH_0057,Untere Wechten,Untere Wechten 2,619263,246187,880,14/07/2022,Sickerquelle,mittel,periodisch,>10,Q-system,4,[SO_Thal_104] aktuell ausgetrocknet,keine,keine,mässig,gering,"Kies,Sand,Feinmaterial,Wurzeln,Pflanzen,Org. Schlamm",unklar,maessig_beeintraechtigt,
SO_TH_0183,Schwarzmatt,Schwarzmatt,620731,245625,806,14/07/2022,Fliessquelle,gross,ganzjährig,<1,Q-system,,[SO_Thal_127] gefasst und in Viehtränke (wobei nicht genutzt). Frosch. Bachflohkrebse,Rohr und Becken,keine,keine,mittel,"Steine,Kies,Sand,Feinmaterial,Moospolster,Wurzeln,Totholz",unklar,maessig_beeintraechtigt,
SO_TH_0184,untere Limmern,untere Limmern 1,620089,245882,765,15/07/2022,Sickerquelle,klein,ganzjährig,<1,Q-system,2,[SO_Thal_128] Austritt unterhalb Drainagerohr. Bachflohkrebse,Nur Rohr/Rinne,keine,mässig,gering,"Fels,Steine,Kies,Sand,Moospolster,Wurzeln,Totholz",unklar,maessig_beeintraechtigt,
SO_TH_0159,untere Limmern,untere Limmern 2,620147,245906,760,15/07/2022,Sickerquelle,klein,ganzjährig,<1,Q-system,,[SO_Thal_167] Drainagerohr und Viehtränke,Rohr und Becken,keine,stark,gering,"Sand,Feinmaterial,Pflanzen,Org. Schlamm",unklar,geschaedigt,
SO_TH_0212,Kluserguet,Kluserguet 1,619318,246309,890,14/07/2022,Sickerquelle,gross,ganzjährig,<1,Q-system,4,[SO_Thal_192] natürlich. Grosse Diversität. Wasserflohkrebse. Wasserschnecken. Amphibien,keine,keine,keine,gering,"Fels,Steine,Kies,Sand,Feinmaterial,Moospolster,Wurzeln,Pflanzen",unklar,naturnah,
SO_TH_0029,Obere Wechten,Obere Wechten,618194,246040,980,14/07/2022,Sickerquelle,klein,ganzjährig,<1,Q-system,2,[SO_Thal_199] weiter oben ist eine gefasste Quelle. Wasserschnecken. Rückenschwimmer. Schmetterlinge. Bienen,keine,keine,gering,unbeschattet,"Feinmaterial,Pflanzen,Org. Schlamm",unklar,bedingt_naturnah,
SO_TH_0143,Kluserguet,Kluserguet 2,619268,246253,900,14/07/2022,Sickerquelle,klein,periodisch,1-10,Q-system,4,[SO_Thal_223] Drainaigerohr bringt aktuell kein Wasser. trotzdem hat der kleine Tümpel Wasser. Amphibien(Frösche). Wasserläufer. Schüttung nicht ganz klar,Nur Rohr/Rinne,keine,gering,gering,"Fels,Steine,Sand,Feinmaterial,Moospolster,Wurzeln,Pflanzen",unklar,bedingt_naturnah,
SO_TH_0012,Sagiweid,Oberhalb Sagiweid-Quelle ,614521,243974,725,22/10/2022,Fliessquelle,klein,ganzjährig,<1,Q-system,6,[SO_Thal_026] Quellsystem im ganzen Hang. Mind. 6Austritte vermutet. Quelle floss erst unterhalb vorgegebener Koordinaten. Im Frühjahr vermutlich Beginn weiter oben. Koordinaten können also weiter den Berg hoch beginnen. Angaben nur grob. da schwer sichtbar. wegen Holz und Laub!,keine,keine,keine,mittel,"Fels,Steine,Kies,Sand,Feinmaterial,Wurzeln,Totholz,Falllaub",unklar,naturnah,
SO_TH_0069,Hinterer Beibelberg,Hinterer Beibelberg 01,615587,245082,908,11/10/2022,künstlich,klein,ganzjährig,<1,,,[SO_Thal_092] Waldrand an einem steilen Abhang gelegenen tiefen Erdhöhle => in der ein kleinkalibriges Rohr und daneben im Schwall austretendes Wasser  Das Wasser versickert nach weniger als einem Meter zwischen grossen Steinen. Wiese oberhlab mit nassen Stellen,Brunnenstube mit Überlauf,keine,mässig,nicht definiert,"Steine,Feinmaterial",unklar,maessig_beeintraechtigt,
