egid;xkoordinaten;ykoordinaten;energietraeger;nutzungsart;wirtschaftseinheit
;2605951.200;1229670.500;Fernwärme;Verwaltungsvermögen;2102-07
;2605978.700;1229573.800;Fernwärme;Verwaltungsvermögen;2102-53
;2605984.500;1229877.800;-;Verwaltungsvermögen;2102-74
;2605987.300;1229678.200;Fernwärme;Verwaltungsvermögen;2102-06
;2606050.200;1229518.300;Fernwärme;Verwaltungsvermögen;2102-11
;2606060.300;1229564.900;;Verwaltungsvermögen;2102-52
;2606098.700;1229599.800;;Verwaltungsvermögen;2102-54
;2606102.100;1229557.900;Fernwärme;Verwaltungsvermögen;2102-56
;2606113.200;1229591.100;Fernwärme;Verwaltungsvermögen;2102-51
;2606117.800;1229574.400;-;Verwaltungsvermögen;2102-50
;2606124.400;1229572.800;Fernwärme;Verwaltungsvermögen;2102-09
;2606398.400;1229082.100;-;Verwaltungsvermögen;2113-02
;2606457.000;1227419.000;;Verwaltungsvermögen;3144-01
;2606514.100;1229647.300;-;Verwaltungsvermögen;1110-02
;2606568.300;1229650.100;Erdgas;Verwaltungsvermögen;1110-03
;2606773.000;1228788.000;Fernwärme;Verwaltungsvermögen;3143-01
;2607155.300;1228868.300;Fernwärme;Finanzvermögen;3104-03
;2607177.600;1228961.400;-;Finanzvermögen;3104-06
;2607405.900;1228690.200;Fernwärme;Verwaltungsvermögen;3132-01
;2607408.100;1228878.800;Fernwärme;Anmietobjekte;4142-02
;2607423.200;1227621.800;;Verwaltungsvermögen;2110-33
;2607425.000;1229258.000;Fernwärme;Verwaltungsvermögen;1101-03
;2607447.200;1228623.300;Erdgas;Verwaltungsvermögen;3136-01
;2607450.000;1228686.100;Fernwärme;Verwaltungsvermögen;3134-01
;2607463.000;1229275.000;Fernwärme;Verwaltungsvermögen;1101-02
;2607468.000;1228597.400;;Finanzvermögen;3110-01
;2607473.000;1228599.000;;Finanzvermögen;3105-01
;2607488.200;1227563.700;;Verwaltungsvermögen;2110-13
;2607520.100;1227750.800;Fernwärme;Verwaltungsvermögen;2110-21
;2607541.000;1229339.000;Fernwärme;Verwaltungsvermögen;1101-06
