egid;xkoordinaten;ykoordinaten;wirtschaftseinheit;vermoegensart;aktuelle_nutzung;prio
330355;;;GE 005/3602/1;FV;Sonstiges;C
330447;;;GE 005/2603/1;VV;Sonstiges;C
333774;;;GE 005/1510/1;VV;Bildung - HPSZ;A
333778;;;GE 005/4514/1;AM;Bildung - HPSZ;
333948;;;GE 005/4515/1;AM;Bildung - HPSZ;
333961;;;GE 005/3507/2;VV;Sicherheit;A
333962;;;GE 005/3507/1;VV;Sicherheit;A
334761;;;GE 005/3506/1;VV;Sonstiges;B
334818;;;GE 005/3520/1;FV;Sonstiges;B
335760;;;GE 005/1509/1;VV;Sonstiges;B
338781;;;GE 005/3301/1;FV;Sonstiges;C
339454;;;GE 005/3902/1;FV;Sonstiges;C
340477;;;GE 005/3903/1;VV;Sicherheit;A
340511;;;GE 005/4905/1;AM;Sonstiges;
340515;;;GE 005/3904/1;VV;Verwaltung;A
340572;;;GE 005/2911/6;VV;Sonstiges;B
342390;;;GE 005/3917/1;VV;Sonstiges;A
342648;;;GE 005/4903/1;AM;Sicherheit;
345197;;;GE 005/3804/6;SV;Stiftung;B
345198;;;GE 005/3804/1;SV;Stiftung;B
347328;;;GE 005/3810/1;FV;Sonstiges;
350735;;;GE 005/3420/2;VV;Sicherheit;A
351859;;;GE 005/3418/1;VV;Sicherheit;
351986;;;GE 005/4407/1;AM;Sicherheit;
357895;;;GE 005/5426/1;FV;Sonstiges;C
358271;;;GE 005/4410/1;AM;Verwaltung;
361153;;;GE 005/3216/1;VV;Stiftung;
362217;;;GE 005/3208/1;VV;Verwaltung;A
363275;;;GE 005/3201/3;SV;Stiftung;
363276;;;GE 005/3201/2;SV;Stiftung;
363277;;;GE 005/3201/5;SV;Stiftung;
363310;;;GE 005/3210/1;FV;Sonstiges;
363616;;;GE 005/3406/8;VV;Sicherheit;A
367741;;;GE 005/2102/73;VV;Gesundheit;
367757;;;GE 005/2102/78;VV;Sonstiges;
367758;;;GE 005/2102/80;VV;Sonstiges;
369159;;;GE 005/1208/13;VV;Sonstiges;
369161;;;GE 005/1208/11;VV;Sonstiges;
369162;;;GE 005/1208/1;VV;Sonstiges;A
369163;;;GE 005/1208/2;VV;Sonstiges;A
369164;;;GE 005/1208/6;VV;Sonstiges;
369165;;;GE 005/1208/12;VV;Sonstiges;
369719;;;GE 005/3214/2;FV;Sonstiges;B
369720;;;GE 005/3214/1;FV;Sonstiges;B
370065;;;GE 005/3212/1;VV;Stiftung;B
371832;;;GE 005/4708/1;AM;Sicherheit;
374785;;;GE 005/4707/1;AM;Sicherheit;
374907;;;GE 005/2714/4;FV;Sonstiges;
374908;;;GE 005/2714/1;FV;Sonstiges;
374910;;;GE 005/2714/6;FV;Sonstiges;
375472;;;GE 005/4702/1;AM;Sicherheit;
376404;;;GE 005/3708/1;VV;Verwaltung;A
376438;;;GE 005/3701/1;VV;Sonstiges;A
376868;;;GE 005/1710/2;VV;Bildung - Kantonsschule;A
376872;;;GE 005/1710/1;VV;Bildung - Kantonsschule;A
377167;;;GE 005/1711/1;VV;Bildung - BBZ;A
378475;;;GE 005/3709/1;VV;Verwaltung;
378588;;;GE 005/3710/1;VV;Sicherheit;
378645;;;GE 005/3705/1;VV;Verwaltung;A
378751;;;GE 005/4723/1;AM;Bildung - HPSZ;
378884;;;GE 005/4725/1;AM;Sonstiges;
378968;;;GE 005/4720/1;AM;Verwaltung;
380105;;;GE 005/3711/1;VV;Sicherheit;A
382347;;;GE 005/3715/1;FV;Sonstiges;C
385930;;;GE 005/4001/1;AM;Verwaltung;
385943;;;GE 005/4005/1;AM;Bildung - HPSZ;
386165;;;GE 005/3003/1;VV;Sonstiges;A
388746;;;GE 005/4007/1;AM;Sicherheit;
1701009;;;GE 005/3609/1;FV;Sonstiges;C
1701063;;;GE 005/3604/1;FV;Sonstiges;B
1701231;;;GE 005/2705/3;FV;Sonstiges;
1701232;;;GE 005/2705/5;FV;Sonstiges;
1701453;;;GE 005/4803/1;AM;;
1704317;;;GE 005/4211/1;AM;;
1704905;;;GE 005/3220/1;VV;Verwaltung;A
1706205;;;GE 005/1215/1;VV;Bildung - HPSZ;A
1764599;;;GE 005/2102/72;FV;Gesundheit;
1764606;;;GE 005/2102/1;VV;Gesundheit;A
1764799;;;GE 005/3106/1;FV;Sonstiges;B
1764801;;;GE 005/3117/1;VV;Sonstiges;
1764806;;;GE 005/3118/1;VV;Verwaltung;A
1764807;;;GE 005/3116/1;VV;Verwaltung;A
1764809;;;GE 005/3110/1;FV;Sonstiges;B
1764833;;;GE 005/3107/1;FV;Sonstiges;
1764933;;;GE 005/3139/1;FV;Sonstiges;
1765092;;;GE 005/4119/1;AM;Bildung - HPSZ;
1765176;;;GE 005/4120/1;AM;Bildung - HPSZ;
1765233;;;GE 005/1111/1;VV;Bildung - HPSZ;A
1765323;;;GE 005/4142/5;AM;Sicherheit;
1765394;;;GE 005/3130/1;FV;Sonstiges;C
1765754;;;GE 005/4102/1;AM;Verwaltung;
1766022;;;GE 005/3128/1;FV;Sonstiges;
1766051;;;GE 005/4146/1;AM;Verwaltung;
1766060;;;GE 005/1107/2;VV;Bildung - BBZ;A
1766088;;;GE 005/3148/1;VV;Verwaltung;A
1766107;;;GE 005/4153/1;AM;Verwaltung;
1766280;;;GE 005/2110/10;VV;Sonstiges;
1766281;;;GE 005/2110/9;VV;Gesundheit;
1766282;;;GE 005/2110/7;VV;Gesundheit;
1766283;;;GE 005/2110/11;VV;Gesundheit;
1766284;;;GE 005/2110/12;VV;Gesundheit;
1766286;;;GE 005/2110/1;VV;Gesundheit;
2121944;;;GE 005/1107/1;VV;Bildung - BBZ;A
2122000;;;GE 005/3114/1;FV;Sonstiges;C
2122652;;;GE 005/3131/1;VV;Verwaltung;B
2122748;;;GE 005/3115/1;VV;Sonstiges;B
2122750;;;GE 005/3133/1;VV;Verwaltung;A
2122781;;;GE 005/4122/1;AM;Verwaltung;
2122940;;;GE 005/1213/1;VV;Bildung - BBZ;A
2123177;;;GE 005/4128/1;AM;Verwaltung;
2123259;;;GE 005/4143/1;AM;Verwaltung;
2123265;;;GE 005/4142/1;AM;Sicherheit;
2123267;;;GE 005/3123/1;VV;Verwaltung;
2123268;;;GE 005/3120/1;VV;Verwaltung;
2123269;;;GE 005/4135/1;VV;Verwaltung;A
2123271;;;GE 005/3138/1;VV;Verwaltung;A
2123430;;;GE 005/3509/1;FV;Sonstiges;
2123755;;;GE 005/3109/1;FV;Sonstiges;B
2124260;;;GE 005/3137/1;VV;Verwaltung;A
2124268;;;GE 005/3121/1;SV;Stiftung;
2124269;;;GE 005/3124/1;VV;Verwaltung;
2126081;;;GE 005/3605/1;VV;Sonstiges;A
2127237;;;GE 005/3008/1;VV;Sonstiges;A
2129346;;;GE 005/1014/1;VV;Bildung - HPSZ;
2129667;;;GE 005/4110/1;AM;Verwaltung;
2129909;;;GE 005/1110/1;VV;Bildung - HPSZ;A
2130862;;;GE 005/3416/1;VV;Sonstiges;A
2131539;;;GE 005/3113/1;VV;Verwaltung;
2131540;;;GE 005/4115/1;AM;Verwaltung;
2131808;;;GE 005/1101/1;VV;Bildung - Kantonsschule;A
2132009;;;GE 005/2113/1;VV;Sonstiges;
2132225;;;GE 005/2112/1;VV;Verwaltung;A
2132229;;;GE 005/3104/2;FV;Sonstiges;
2353744;;;GE 005/4004/1;AM;Verwaltung;
3003442;;;GE 005/1720/1;VV;Bildung - HPSZ;A
3007756;;;GE 005/1107/5;VV;Sonstiges;A
3008915;;;GE 005/3104/1;FV;Sonstiges;
3009770;;;GE 005/4705/1;AM;Bildung - BBZ;
3012029;;;GE 005/2110/5;VV;Gesundheit;
3013418;;;GE 005/3201/1;SV;Stiftung;
3013682;;;GE 005/3515/1;VV;Verwaltung;A
3013857;;;GE 005/3101/1;VV;Sicherheit;A
3013867;;;GE 005/4142/3;AM;Verwaltung;
9023765;;;GE 005/1712/1;VV;Bildung - BBZ;A
9033863;;;GE 005/3406/2;VV;Sicherheit;A
160005156;;;GE 005/4606/1;AM;Sicherheit;
160011107;;;GE 005/3609/3;FV;Sonstiges;C
190097647;;;GE 005/3607/1;VV;Sicherheit;A
190106028;;;GE 005/2102/5;VV;Gesundheit;
190124583;;;GE 005/3406/24;VV;Sicherheit;A
190194124;;;GE 005/1711/3;VV;Bildung - BBZ;A
190203393;;;GE 005/3521/1;VV;Sonstiges;A
190504800;;;GE 005/1716/1;VV;Bildung - FHNW;A
190602788;;;GE 005/4718/1;AM;Verwaltung;
190663149;;;GE 005/1102/1;VV;Bildung - FHNW;A
191050750;;;GE 005/3605/3;VV;Sonstiges;A
191220192;;;GE 005/1107/4;VV;Bildung - BBZ;A
191335490;;;GE 005/1107/6;VV;Bildung - BBZ;A
191351497;;;GE 005/3605/2;VV;Sonstiges;A
191411312;;;GE 005/1711/2;VV;Bildung - BBZ;A
191480672;;;GE 005/2110/6;VV;Gesundheit;
191533794;;;GE 005/1717/2;VV;Bildung - BBZ;A
191567732;;;GE 005/3906/1;VV;Sonstiges;A
191610655;;;GE 005/1208/24;VV;Sonstiges;A
191610656;;;GE 005/1208/23;VV;Sonstiges;A
191610657;;;GE 005/1208/22;VV;Sonstiges;A
191666813;;;GE 005/2705/4;FV;Sonstiges;
