egrid;recht;fachverantwortung;vermoegensart;wirtschaftseinheit
CH107006753293;Eigentum;Hochbauamt;VV;3131-G01
CH107206913288;Eigentum;Hochbauamt;FV;5245-G01
CH107406833258;Eigentum;Amt für Landwirtschaft;FV;5281-G01
CH107606783219;Eigentum;Amt für Umwelt;FV;3609-G04
CH107706663228;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5424-G01
CH107806063284;Eigentum;Amt für Landwirtschaft;VV;5414-G03
CH107806623213;Eigentum;Amt für Umwelt;VV;5441-G05
CH108306133225;Eigentum;Hochbauamt;VV;3906-G01
CH108406153289;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5913-G01
CH108406763203;Eigentum;Amt für Umwelt;VV;5944-G01
CH108606083256;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5011-G01
CH110643328132;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5737-G01
CH110670327685;Eigentum;Amt für Umwelt;VV;5510-G01
CH110674327550;Eigentum;Amt für Landwirtschaft;FV;5639-G01
CH110683327467;Eigentum;Amt für Landwirtschaft;FV;5289-G01
CH110692327978;Miete;;AM;4402-G01
CH127415320691;Eigentum;;VV;5313-G01
CH127483320661;Eigentum;Amt für Landwirtschaft;VV;5229-G01
CH127766320636;Eigentum;Hochbauamt;VV;3420-G01
CH127806320664;Eigentum;;VV;5414-G16
CH127990320657;Eigentum;;VV;5492-G01
CH128032320667;Eigentum;Amt für Verkehr und Tiefbau;FV;3717-G01
CH129953320644;Eigentum;Hochbauamt;VV;2110-G09
CH129963320651;Eigentum;Amt für Landwirtschaft;VV;5421-G02
CH133270065103;Eigentum;Hochbauamt;VV;3124-G01
CH133270066982;Eigentum;Amt für Landwirtschaft;VV;1208-G03
CH133271069250;Eigentum;Hochbauamt;VV;3406-G01
CH133272065380;Eigentum;Hochbauamt;VV;1215-G01
CH133274067540;Eigentum;Amt für Umwelt;FV;5307-G01
CH133276063166;Eigentum;Amt für Umwelt;FV;5633-G01
CH133277064345;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5459-G01
CH133277068897;Eigentum;Amt für Landwirtschaft;VV;5439-G01
CH133279066010;Stiftung;;SV;3121-G01
CH133284068735;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5901-G01
CH140632767652;Eigentum;Amt für Wald, Jagd und Fischerei;FV;5526-G01
CH140632776659;Eigentum;Hochbauamt;VV;3412-G04
CH140632780619;Eigentum;Amt für Landwirtschaft;VV;5414-G14
CH140632824565;Eigentum;Amt für Verkehr und Tiefbau;VV;3914-G01
CH140632875441;Eigentum;;VV;5727-G01
CH140632984319;Allmend;;ALLM;5414-G17
CH150832750687;Eigentum;Hochbauamt;VV;3607-G01
CH151532740695;Eigentum;Amt für Landwirtschaft;VV;5315-G01
CH154532790646;Eigentum;;VV;5414-G32
CH155132790678;Eigentum;Amt für Landwirtschaft;VV;5495-G01
CH155632700667;Eigentum;Hochbauamt;VV;1208-G02
CH158532760642;Eigentum;Amt für Landwirtschaft;FV;5618-G01
CH158532820624;Eigentum;Hochbauamt;VV;3705-G01
CH158832800646;Eigentum;;VV;5713-G01
CH159832900637;Eigentum;Hochbauamt;FV;5426-G14
CH167032063562;Eigentum;Hochbauamt;VV;3148-G01
CH167632060032;Eigentum;Amt für Landwirtschaft;VV;5603-G01
CH167632063101;Eigentum;Amt für Umwelt;FV;5633-G05
CH167832060669;Eigentum;;VV;5414-G34
CH167932061533;Eigentum;Amt für Landwirtschaft;VV;5414-G04
CH168432068918;Eigentum;Hochbauamt;VV;5904-G01
CH168632068367;Eigentum;Hochbauamt;VV;3008-G01
CH168832066333;Miete;;AM;4820-G01
CH170680093210;Eigentum;;VV;5803-G01
CH170680583257;Eigentum;Amt für Verkehr und Tiefbau;VV;5728-G01
CH170685503236;Eigentum;Hochbauamt;VV;3009-G02
CH170688493212;Eigentum;Amt für Landwirtschaft;VV;5762-G01
CH170689053238;Eigentum;;FV;5717-G01
CH170691183278;Miete;;AM;4006-G01
CH170699593277;Eigentum;Amt für Landwirtschaft;FV;5540-G01
CH180232068141;Eigentum;Hochbauamt;VV;1717-G04
CH181332068333;Eigentum;Amt für Raumplanung;VV;5948-G01
CH182032068140;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5807-G01
CH182832069702;Eigentum;;VV;5031-G01
CH183532067034;Eigentum;Hochbauamt;FV;3107-G01
CH183832067743;Eigentum;Amt für Wald, Jagd und Fischerei;VV;5483-G01
CH184132067957;Eigentum;Hochbauamt;VV;3416-G01
CH184532067946;Eigentum;Amt für Landwirtschaft;VV;5414-G08
CH186032068721;Eigentum;;VV;3805-G08
CH186332068242;Eigentum;Amt für Verkehr und Tiefbau;VV;5911-G01
CH187930127703;Eigentum;Hochbauamt;FV;2213-G07
CH193077791207;Eigentum;Hochbauamt;FV;2213-G08
CH193274830671;Eigentum;Amt für Landwirtschaft;VV;5298-G01
CH193277380682;Eigentum;;VV;5484-G01
CH193278070669;Eigentum;Amt für Verkehr und Tiefbau;VV;5430-G01
CH193282720632;Eigentum;Hochbauamt;FV;3715-G01
CH193286400692;Eigentum;Amt für Verkehr und Tiefbau;VV;5007-G01
CH207406133240;Eigentum;Amt für Landwirtschaft;VV;5336-G01
