egrid;wirtschaftseinheit;vermoegensart;fachverantwortung;prio
CH107006753293;GR 005/3131/1;VV;Hochbauamt;B;
CH107206913288;GR 005/5245/1;FV;Hochbauamt;B;
CH107406833258;GR 005/5281/1;FV;Amt für Raumplanung;B;
CH107606783219;GR 005/3609/4;FV;Amt für Umwelt;C;
CH107706663228;GR 005/5424/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH107806063284;GR 005/5414/3;VV;Amt für Landwirtschaft;A;
CH107806623213;GR 005/5441/5;VV;Amt für Umwelt;B;
CH108306133225;GR 005/3906/1;VV;Hochbauamt;A;
CH108406153289;GR 005/5913/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH108406763203;GR 005/5944/1;VV;Amt für Umwelt;B;
CH108606083256;GR 005/5011/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH110643328132;GR 005/5737/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH110670327685;GR 005/5510/1;VV;Hochbauamt;B;
CH110674327550;GR 005/5639/1;FV;Amt für Landwirtschaft;C;
CH110683327467;GR 005/5289/1;FV;Amt für Raumplanung;B;
CH110692327978;GR 005/4402/1;AM;Hochbauamt;;
CH127415320691;GR 005/5313/1;VV;;B;
CH127483320661;GR 005/5229/1;VV;Amt für Raumplanung;B;
CH127766320636;GR 005/3420/1;VV;Hochbauamt;A;
CH127806320664;GR 005/5414/16;VV;;B;
CH127990320657;GR 005/5492/1;VV;Amt für Verkehr und Tiefbau;B;
CH128032320667;GR 005/3717/1;FV;Amt für Verkehr und Tiefbau;C;
CH129953320644;GR 005/2110/9;VV;Hochbauamt;A;
CH129963320651;GR 005/5421/2;VV;Amt für Landwirtschaft;B;
CH133270065103;GR 005/3124/1;VV;Hochbauamt;A;
CH133270066982;GR 005/1208/3;VV;Amt für Landwirtschaft;A;
CH133271069250;GR 005/3406/1;VV;Hochbauamt;A;
CH133272065380;GR 005/1215/1;VV;Hochbauamt;A;
CH133274067540;GR 005/5307/1;FV;Amt für Umwelt;C;
CH133276063166;GR 005/5633/1;FV;Amt für Umwelt;B;
CH133277064345;GR 005/5459/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH133277068897;GR 005/5439/1;VV;Amt für Landwirtschaft;A;
CH133279066010;GR 005/3121/1;SV;Zentralbibliothek;A;
CH133284068735;GR 005/5901/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH140632767652;GR 005/5526/1;FV;Amt für Wald, Jagd und Fischerei;B;
CH140632776659;GR 005/3412/4;VV;Hochbauamt;B;
CH140632780619;GR 005/5414/14;VV;Amt für Landwirtschaft;B;
CH140632824565;GR 005/3914/1;VV;Amt für Verkehr und Tiefbau;A;
CH140632875441;GR 005/5727/1;VV;;B;
CH140632984319;GR 005/5414/17;ALLM;Amt für Umwelt;B;
CH150832750687;GR 005/3607/1;VV;Hochbauamt;A;
CH151532740695;GR 005/5315/1;VV;Amt für Landwirtschaft;B;
CH154532790646;GR 005/5414/32;VV;Amt für Verkehr und Tiefbau;A;
CH155132790678;GR 005/5495/1;VV;Amt für Landwirtschaft;B;
CH155632700667;GR 005/1208/2;VV;Hochbauamt;A;
CH158532760642;GR 005/5618/1;FV;Amt für Landwirtschaft;B;
CH158532820624;GR 005/3705/1;VV;Hochbauamt;A;
CH158832800646;GR 005/5713/1;VV;;B;
CH159832900637;GR 005/5426/14;FV;Hochbauamt;C;
CH167032063562;GR 005/3148/1;VV;Hochbauamt;A;
CH167632060032;GR 005/5603/1;VV;Amt für Landwirtschaft;B;
CH167632063101;GR 005/5633/5;FV;Amt für Umwelt;;
CH167832060669;GR 005/5414/34;VV;Hochbauamt;A;
CH167932061533;GR 005/5414/4;VV;Amt für Landwirtschaft;A;
CH168432068918;GR 005/5904/1;VV;Hochbauamt;A;
CH168632068367;GR 005/3008/1;VV;Hochbauamt;A;
CH168832066333;GR 005/4820/1;AM;Amt für Raumplanung;;
CH170680093210;GR 005/5803/1;VV;;B;
CH170680583257;GR 005/5728/1;VV;Amt für Verkehr und Tiefbau;B;
CH170685503236;GR 005/3009/2;VV;Hochbauamt;B;
CH170688493212;GR 005/5762/1;FV;Amt für Landwirtschaft;B;
CH170689053238;GR 005/5717/1;FV;;C;
CH170691183278;GR 005/4006/1;AM;Hochbauamt;;
CH170699593277;GR 005/5540/1;FV;Amt für Landwirtschaft;B;
CH180232068141;GR 005/1717/4;VV;Hochbauamt;C;
CH181332068333;GR 005/5948/1;VV;Amt für Raumplanung;B;
CH182032068140;GR 005/5807/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH182832069702;GR 005/5031/1;VV;Amt für Umwelt;B;
CH183532067034;GR 005/3107/1;FV;Hochbauamt;C;
CH183832067743;GR 005/5483/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH184132067957;GR 005/3416/1;VV;Hochbauamt;A;
CH184532067946;GR 005/5414/8;VV;Amt für Umwelt;B;
CH186032068721;GR 005/3805/8;VV;;B;
CH186332068242;GR 005/5911/1;VV;Amt für Verkehr und Tiefbau;B;
CH187930127703;GR 005/2213/7;FV;Hochbauamt;C;
CH193077791207;GR 005/2213/8;FV;Hochbauamt;C;
CH193274830671;GR 005/5298/1;VV;Amt für Raumplanung;B;
CH193277380682;GR 005/5484/1;VV;Amt für Umwelt;B;
CH193278070669;GR 005/5430/1;VV;Amt für Verkehr und Tiefbau;B;
CH193282720632;GR 005/3715/1;FV;Hochbauamt;C;
CH193286400692;GR 005/5007/1;VV;Amt für Verkehr und Tiefbau;B;
CH207406133240;GR 005/5336/1;VV;Amt für Landwirtschaft;B;
CH207506513293;GR 005/5601/1;VV;Amt für Landwirtschaft;B;
CH207506983249;GR 005/5627/1;VV;;B;
CH207906153293;GR 005/5414/19;VV;Amt für Umwelt;B;
CH207906423212;GR 005/3409/5;FV;Amt für Verkehr und Tiefbau;C;
CH208206493207;GR 005/3905/1;VV;Hochbauamt;B;
CH208306143285;GR 005/5957/1;VV;Amt für Landwirtschaft;B;
CH210613327481;GR 005/5337/1;VV;Amt für Umwelt;B;
CH210615327958;GR 005/5414/33;VV;Amt für Verkehr und Tiefbau;A;
CH210623327092;GR 005/2110/7;VV;Hochbauamt;A;
CH210651327529;GR 005/5690/1;VV;;A;
CH210671328632;GR 005/5018/1;VV;Amt für Wald, Jagd und Fischerei;B;
CH210673327030;GR 005/2102/1;VV;Hochbauamt;A;
CH210673328713;GR 005/5674/1;FV;;B;
CH210684329897;GR 005/5351/1;ALLM;Amt für Umwelt;A;
CH227843320685;GR 005/5496/1;FV;Amt für Umwelt;B;
CH227915320619;GR 005/5414/36;VV;Amt für Verkehr und Tiefbau;A;
CH228065320627;GR 005/5833/1;FV;Amt für Verkehr und Tiefbau;C;
